,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
627,K2CO3,m2,p6,tAmOH,t20,,0.22237652248930012
322,K3PO4,m2,p4,tAmOH,t40,,0.0523732082375
680,K2CO3,m4,p4,DMF,t60,,0.05059143024349997
36,BTMG,m3,p2,DMF,t20,,0.0716076524719
47,BTMG,m3,p3,tAmOH,t60,,0.12401568292069999
173,Cs2CO3,m2,p4,tAmOH,t60,,0.0515076145615
159,Cs2CO3,m2,p2,tAmOH,t20,,0.06312340251600003
200,Cs2CO3,m3,p4,DMF,t60,,0.033768049006100004
830,DIPEA,m4,p4,DMF,t60,,0.03693137015019999
517,DBU,m4,p2,DMF,t40,,0.05802968151750001
326,K3PO4,m2,p6,DMF,t60,,0.2991440695677002
327,K3PO4,m2,p6,tAmOH,t20,,0.24284306539720021
354,K3PO4,m3,p6,DMF,t20,,0.041436945783599945
789,DIPEA,m3,p2,tAmOH,t20,,0.00532453655
462,DBU,m2,p3,DMF,t20,,0.01774467113559998
135,BTMG,m6,p3,tAmOH,t20,,0.020281463204399993
555,DBU,m5,p3,tAmOH,t20,,0.00885726499299999
654,K2CO3,m3,p6,DMF,t20,,0.03849609351189995
