,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
6,BTMG,m2,p2,DMF,t20,,1.0
145,BTMG,m6,p6,DMF,t40,,1.0
116,BTMG,m5,p6,DMF,t60,,1.0
99,BTMG,m5,p2,tAmOH,t20,,1.0
16,BTMG,m2,p3,tAmOH,t40,,1.0
59,BTMG,m3,p6,tAmOH,t60,,1.0
186,Cs2CO3,m3,p2,DMF,t20,,1.0
157,Cs2CO3,m2,p2,DMF,t40,,1.0
284,Cs2CO3,m6,p3,DMF,t60,,1.0
207,Cs2CO3,m3,p6,tAmOH,t20,,1.0
262,Cs2CO3,m5,p4,tAmOH,t40,,1.0
221,Cs2CO3,m4,p2,tAmOH,t60,,1.0
330,K3PO4,m3,p1,DMF,t20,,1.0
349,K3PO4,m3,p4,DMF,t40,,1.0
344,K3PO4,m3,p3,DMF,t60,,1.0
345,K3PO4,m3,p3,tAmOH,t20,,1.0
448,K3PO4,m6,p6,tAmOH,t40,,1.0
305,K3PO4,m2,p1,tAmOH,t60,,1.0
498,DBU,m3,p4,DMF,t20,,1.0
487,DBU,m3,p2,DMF,t40,,1.0
572,DBU,m6,p1,DMF,t60,,1.0
483,DBU,m3,p1,tAmOH,t20,,1.0
466,DBU,m2,p3,tAmOH,t40,,1.0
575,DBU,m6,p1,tAmOH,t60,,1.0
630,K2CO3,m3,p1,DMF,t20,,1.0
673,K2CO3,m4,p3,DMF,t40,,1.0
620,K2CO3,m2,p4,DMF,t60,,1.0
621,K2CO3,m2,p4,tAmOH,t20,,1.0
682,K2CO3,m4,p4,tAmOH,t40,,1.0
725,K2CO3,m6,p1,tAmOH,t60,,1.0
840,DIPEA,m5,p1,DMF,t20,,1.0
853,DIPEA,m5,p3,DMF,t40,,1.0
812,DIPEA,m4,p1,DMF,t60,,1.0
759,DIPEA,m2,p2,tAmOH,t20,,1.0
868,DIPEA,m5,p6,tAmOH,t40,,1.0
887,DIPEA,m6,p3,tAmOH,t60,,1.0
