,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
6,BTMG,m2,p2,DMF,t20,6.488691052,1
145,BTMG,m6,p6,DMF,t40,19.43675223,1
116,BTMG,m5,p6,DMF,t60,14.35474552,1
99,BTMG,m5,p2,tAmOH,t20,-0.888238952,1
16,BTMG,m2,p3,tAmOH,t40,4.565834915,1
59,BTMG,m3,p6,tAmOH,t60,45.84386895,1
186,Cs2CO3,m3,p2,DMF,t20,2.203681229,1
157,Cs2CO3,m2,p2,DMF,t40,11.0026032,1
284,Cs2CO3,m6,p3,DMF,t60,0.502415368,1
207,Cs2CO3,m3,p6,tAmOH,t20,4.404858183,1
262,Cs2CO3,m5,p4,tAmOH,t40,-0.041774439,1
221,Cs2CO3,m4,p2,tAmOH,t60,4.668578593,1
330,K3PO4,m3,p1,DMF,t20,1.035680304,1
349,K3PO4,m3,p4,DMF,t40,5.607636039,1
344,K3PO4,m3,p3,DMF,t60,-0.611217358,1
345,K3PO4,m3,p3,tAmOH,t20,-1.246246346,1
448,K3PO4,m6,p6,tAmOH,t40,7.332727552,1
305,K3PO4,m2,p1,tAmOH,t60,-0.809203378,1
498,DBU,m3,p4,DMF,t20,0.34730799,1
487,DBU,m3,p2,DMF,t40,2.827638549,1
572,DBU,m6,p1,DMF,t60,3.51837548,1
483,DBU,m3,p1,tAmOH,t20,-0.896747098,1
466,DBU,m2,p3,tAmOH,t40,0.613634969,1
575,DBU,m6,p1,tAmOH,t60,12.42854916,1
630,K2CO3,m3,p1,DMF,t20,-0.881880077,1
673,K2CO3,m4,p3,DMF,t40,3.045244717,1
620,K2CO3,m2,p4,DMF,t60,4.520408931,1
621,K2CO3,m2,p4,tAmOH,t20,2.225592069,1
682,K2CO3,m4,p4,tAmOH,t40,8.255586722,1
725,K2CO3,m6,p1,tAmOH,t60,-0.05386156,1
840,DIPEA,m5,p1,DMF,t20,-2.006215149,1
853,DIPEA,m5,p3,DMF,t40,-0.335882033,1
812,DIPEA,m4,p1,DMF,t60,-1.332307502,1
759,DIPEA,m2,p2,tAmOH,t20,0.601161121,1
868,DIPEA,m5,p6,tAmOH,t40,-1.117668472,1
887,DIPEA,m6,p3,tAmOH,t60,-0.996314486,1
