Time_h,Screen_ID,Z_Score_AP,Base,Base_Equiv,Solvent,Solvent_Volumes
NA,ReqID_702.1,1.6452630346049217,Cs2CO3,5,"1,4-Dioxane",NA
NA,ReqID_702.1,0.49520651851387193,Cs2CO3,5,2-MeTHF,NA
NA,ReqID_702.1,-0.3757286913365646,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,2.04428180916195,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,2.2073423660722744,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,1.8217521079666843,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,DMF,NA
NA,ReqID_702.1,1.7574870649490861,Cs2CO3,5,MeCN,NA
NA,ReqID_702.1,2.0327716522035746,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,-0.19444371924214554,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,-0.1848519217768324,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,0.3024113894610771,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,0.3474928375480489,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,DMF,NA
NA,ReqID_702.1,2.3857497989270993,Cs2CO3,5,DMAc,NA
NA,ReqID_702.1,0.7772053639940792,Cs2CO3,5,NMP,NA
NA,ReqID_702.1,2.376158001461786,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,0.2247178299920403,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,0.6227774248025372,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,1.6222427206881704,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,DMF,NA
NA,ReqID_702.1,0.14702427052300357,Cs2CO3,5,"1,2-DCE",NA
NA,ReqID_702.1,1.4045089182255612,Cs2CO3,5,THF,NA
NA,ReqID_702.1,2.929604715210356,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,2.565116411528456,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,2.535381839385985,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,2.6802179811122135,Cs2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,DMF,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,DMF,NA
NA,ReqID_702.1,-0.2970759521209966,K2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,Acetone,NA
NA,ReqID_702.1,0.08563676674499919,K2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,MeCN,NA
NA,ReqID_702.1,1.5071411511044124,K2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,Acetone,NA
NA,ReqID_702.1,1.2769380119368958,K2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.41313670145128595,Na2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,K2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,K2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,MeCN,NA
NA,ReqID_702.1,-0.3306472432495927,K2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Na2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,Acetone,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,Acetone,NA
NA,ReqID_702.1,1.56373275614976,K2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.28172907617649545,Na2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,Li2CO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,K2HPO4,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,CaCO3,5,MeCN,NA
NA,ReqID_702.1,-0.5512585849517958,MgCO3-H2O,5,MeCN,NA
4,ReqID_709.1,0.91419401600430406,DBU,3,DMF,NA
4,ReqID_709.1,-0.7496128876883338,Diisopropylethylamine,3,DMF,NA
