,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
87,BTMG,m4,p6,tAmOH,t20,,0.1760617270166
88,BTMG,m4,p6,tAmOH,t40,,0.2376256248404998
89,BTMG,m4,p6,tAmOH,t60,,0.2609438311185998
90,BTMG,m5,p1,DMF,t20,,0.0232117474429
91,BTMG,m5,p1,DMF,t40,,0.05985837101350003
92,BTMG,m5,p1,DMF,t60,,0.10132751415530007
93,BTMG,m5,p1,tAmOH,t20,,0.020668102026599997
94,BTMG,m5,p1,tAmOH,t40,,0.05583500447240003
95,BTMG,m5,p1,tAmOH,t60,,0.08947246783900004
96,BTMG,m5,p2,DMF,t20,,0.023567477229100003
97,BTMG,m5,p2,DMF,t40,,0.05951934249420003
98,BTMG,m5,p2,DMF,t60,,0.10823809861710006
99,BTMG,m5,p2,tAmOH,t20,0.0,0.0188298668147
100,BTMG,m5,p2,tAmOH,t40,,0.056364749870100025
101,BTMG,m5,p2,tAmOH,t60,,0.09664828809430008
102,BTMG,m5,p3,DMF,t20,,0.017787746238
103,BTMG,m5,p3,DMF,t40,,0.04826350530010002
104,BTMG,m5,p3,DMF,t60,,0.09756131016940006
105,BTMG,m5,p3,tAmOH,t20,,0.0156912688547
106,BTMG,m5,p3,tAmOH,t40,,0.044452221241100015
107,BTMG,m5,p3,tAmOH,t60,,0.08569684027820003
108,BTMG,m5,p4,DMF,t20,,0.05477165009170005
109,BTMG,m5,p4,DMF,t40,,0.10768770185440006
110,BTMG,m5,p4,DMF,t60,0.1522590141,0.13715624262210013
111,BTMG,m5,p4,tAmOH,t20,,0.04626566067380002
112,BTMG,m5,p4,tAmOH,t40,,0.09702670708150003
113,BTMG,m5,p4,tAmOH,t60,0.1075422108,0.1180014199305001
114,BTMG,m5,p6,DMF,t20,0.0,0.07006652692150003
115,BTMG,m5,p6,DMF,t40,0.1832513637,0.17177973769960006
116,BTMG,m5,p6,DMF,t60,0.1435474552,0.1748125965761001
117,BTMG,m5,p6,tAmOH,t20,,0.08185712672730004
118,BTMG,m5,p6,tAmOH,t40,,0.16692437351880007
119,BTMG,m5,p6,tAmOH,t60,,0.1767122110079001
120,BTMG,m6,p1,DMF,t20,,0.0255420513673
121,BTMG,m6,p1,DMF,t40,,0.061796542097100025
122,BTMG,m6,p1,DMF,t60,,0.10656164090890002
123,BTMG,m6,p1,tAmOH,t20,0.0,0.023218489536099996
124,BTMG,m6,p1,tAmOH,t40,,0.05785443104410001
125,BTMG,m6,p1,tAmOH,t60,,0.09997247381050002
126,BTMG,m6,p2,DMF,t20,,0.03360998087729998
127,BTMG,m6,p2,DMF,t40,,0.06629192226400005
128,BTMG,m6,p2,DMF,t60,0.1301084084,0.12001973377910001
129,BTMG,m6,p2,tAmOH,t20,,0.029375807645499994
130,BTMG,m6,p2,tAmOH,t40,,0.06212420790900004
131,BTMG,m6,p2,tAmOH,t60,,0.11283821486620006
132,BTMG,m6,p3,DMF,t20,,0.022261707975499995
133,BTMG,m6,p3,DMF,t40,,0.050918281153100015
134,BTMG,m6,p3,DMF,t60,,0.10203904895990004
