ligand,electrophile,electrophile_pci_name,nucleophile,nucleophile_pci_name,yield,ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles
CgMe-PPh,2-Bromobiphenyl,4,2-Isopropyl-1-methyl-1H-imidazole,D,3.14,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Brc1ccccc1-c1ccccc1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2-c2ccccc2)n1C
PPh3,2-Bromobiphenyl,4,2-Isopropyl-1-methyl-1H-imidazole,D,2.78,c1ccc(P(c2ccccc2)c2ccccc2)cc1,Brc1ccccc1-c1ccccc1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2-c2ccccc2)n1C
X-Phos,2-Bromobiphenyl,4,2-Isopropyl-1-methyl-1H-imidazole,D,1.33,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Brc1ccccc1-c1ccccc1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2-c2ccccc2)n1C
PnBu3 HBF4,2-Bromobiphenyl,4,2-Isopropyl-1-methyl-1H-imidazole,D,1.49,CCCCP(CCCC)CCCC,Brc1ccccc1-c1ccccc1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2-c2ccccc2)n1C
A-caPhos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,45.2,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
BrettPhos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,1.02,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
CX-FBu,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,6.6,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
CX-PICy,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,102.35,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
Cy-DavePhos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,71.64,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
Cy-vBRIDP,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,52.64,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
Kwong,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,75.57,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
MeO-KITPHOS,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,24.24,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
P(o-Anis)3,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,21.74,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
Et-PhenCar-Phos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,107.81,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
JackiePhos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,87.94,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
"P(3,5-CF3-Ph)3",1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,72.71,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
P(fur)3,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,31.28,c1coc(P(c2ccco2)c2ccco2)c1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
Ph-PhenCar-Phos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,17.99,c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
PPh2Me,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,16.99,CP(c1ccccc1)c1ccccc1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
PPhtBu2,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,16.78,CC(C)(C)P(c1ccccc1)C(C)(C)C,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
tBPh-CPhos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,102.17,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
PPhMe2,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,17.3,CP(C)c1ccccc1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
Cy-BippyPhos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,108.0,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
PCy3 HBF4,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,14.85,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
CgMe-PPh,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,110.28,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
PPh3,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,99.11,c1ccc(P(c2ccccc2)c2ccccc2)cc1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
X-Phos,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,38.69,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
PnBu3 HBF4,1-Bromo-2-fluorobenzene,7,2-Isopropyl-1-methyl-1H-imidazole,D,7.14,CCCCP(CCCC)CCCC,Fc1ccccc1Br,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccccc2F)n1C
A-caPhos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,57.47,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
BrettPhos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,12.18,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
CX-FBu,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,0.0,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
CX-PICy,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,72.46,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
Cy-DavePhos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,74.43,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
Cy-vBRIDP,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,68.3,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
Kwong,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,76.52,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
MeO-KITPHOS,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,67.38,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
P(o-Anis)3,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,27.4,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
Et-PhenCar-Phos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,68.51,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
JackiePhos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,65.56,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
"P(3,5-CF3-Ph)3",1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,43.06,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
P(fur)3,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,66.65,c1coc(P(c2ccco2)c2ccco2)c1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
Ph-PhenCar-Phos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,71.76,c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
PPh2Me,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,12.58,CP(c1ccccc1)c1ccccc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
PPhtBu2,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,28.03,CC(C)(C)P(c1ccccc1)C(C)(C)C,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
tBPh-CPhos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,78.18,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
PPhMe2,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,18.06,CP(C)c1ccccc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
Cy-BippyPhos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,71.72,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
PCy3 HBF4,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,72.35,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
CgMe-PPh,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,65.83,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
PPh3,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,63.54,c1ccc(P(c2ccccc2)c2ccccc2)cc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
X-Phos,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,77.26,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
PnBu3 HBF4,1-Benzyl-5-bromo-1H-indole,9,2-Isopropyl-1-methyl-1H-imidazole,D,32.39,CCCCP(CCCC)CCCC,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C
A-caPhos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,96.55,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
BrettPhos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,94.2,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
CX-FBu,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,2.04,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
CX-PICy,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,95.48,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
Cy-DavePhos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,90.86,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
Cy-vBRIDP,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,97.03,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
Kwong,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,91.67,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
MeO-KITPHOS,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,94.09,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
P(o-Anis)3,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,26.88,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
Et-PhenCar-Phos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,99.08,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
JackiePhos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,96.54,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
"P(3,5-CF3-Ph)3",3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,89.6,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
P(fur)3,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,98.01,c1coc(P(c2ccco2)c2ccco2)c1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
Ph-PhenCar-Phos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,16.4,c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
PPh2Me,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,100.11,CP(c1ccccc1)c1ccccc1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
PPhtBu2,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,99.95,CC(C)(C)P(c1ccccc1)C(C)(C)C,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
tBPh-CPhos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,99.68,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
PPhMe2,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,100.23,CP(C)c1ccccc1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
Cy-BippyPhos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,99.33,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
PCy3 HBF4,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,53.41,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
CgMe-PPh,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,97.07,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
PPh3,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,96.89,c1ccc(P(c2ccccc2)c2ccccc2)cc1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
X-Phos,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,99.56,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
PnBu3 HBF4,3-Bromo-5-(trifluoromethyl)pyridine,10,2-Isopropyl-1-methyl-1H-imidazole,D,97.91,CCCCP(CCCC)CCCC,FC(F)(F)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(C(F)(F)F)c2)n1C
A-caPhos,2-Acetyl-5-bromothiophene,2,"1-Benzyl-2,4-dimethyl-1H-imidazole",E,2.62,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,Cc1cn(Cc2ccccc2)c(C)n1,CC(=O)c1ccc(-c2c(C)nc(C)n2Cc2ccccc2)s1
BrettPhos,2-Acetyl-5-bromothiophene,2,"1-Benzyl-2,4-dimethyl-1H-imidazole",E,6.65,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)c1ccc(Br)s1,Cc1cn(Cc2ccccc2)c(C)n1,CC(=O)c1ccc(-c2c(C)nc(C)n2Cc2ccccc2)s1
CX-FBu,2-Acetyl-5-bromothiophene,2,"1-Benzyl-2,4-dimethyl-1H-imidazole",E,0.83,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,CC(=O)c1ccc(Br)s1,Cc1cn(Cc2ccccc2)c(C)n1,CC(=O)c1ccc(-c2c(C)nc(C)n2Cc2ccccc2)s1
CX-PICy,2-Acetyl-5-bromothiophene,2,"1-Benzyl-2,4-dimethyl-1H-imidazole",E,14.92,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CC(=O)c1ccc(Br)s1,Cc1cn(Cc2ccccc2)c(C)n1,CC(=O)c1ccc(-c2c(C)nc(C)n2Cc2ccccc2)s1
Cy-DavePhos,2-Acetyl-5-bromothiophene,2,"1-Benzyl-2,4-dimethyl-1H-imidazole",E,17.1,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,Cc1cn(Cc2ccccc2)c(C)n1,CC(=O)c1ccc(-c2c(C)nc(C)n2Cc2ccccc2)s1
Cy-vBRIDP,2-Acetyl-5-bromothiophene,2,"1-Benzyl-2,4-dimethyl-1H-imidazole",E,15.5,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,Cc1cn(Cc2ccccc2)c(C)n1,CC(=O)c1ccc(-c2c(C)nc(C)n2Cc2ccccc2)s1
