ligand,electrophile,electrophile_pci_name,nucleophile,nucleophile_pci_name,yield,ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles
PPh2Me,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,3.47,CP(c1ccccc1)c1ccccc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
PPhtBu2,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,3.78,CC(C)(C)P(c1ccccc1)C(C)(C)C,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
tBPh-CPhos,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,55.12,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
PPhMe2,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,3.45,CP(C)c1ccccc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
Cy-BippyPhos,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,17.64,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
PCy3 HBF4,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,5.32,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
CgMe-PPh,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,44.43,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
PPh3,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,11.41,c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
X-Phos,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,10.67,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
PnBu3 HBF4,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,1,2-Isopropyl-1-methyl-1H-imidazole,D,4.86,CCCCP(CCCC)CCCC,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC
