,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
258,Cs2CO3,m5,p4,DMF,t20,,0.007267339021399989
41,BTMG,m3,p2,tAmOH,t60,,0.29100717711649965
342,K3PO4,m3,p3,DMF,t20,,0.004268609689599994
592,DBU,m6,p4,tAmOH,t40,,0.060313346487899995
825,DIPEA,m4,p3,tAmOH,t20,,0.011677746595099993
236,Cs2CO3,m4,p6,DMF,t60,,0.07086380170739995
570,DBU,m6,p1,DMF,t20,,0.047302657653299954
123,BTMG,m6,p1,tAmOH,t20,,0.09300657443020004
238,Cs2CO3,m4,p6,tAmOH,t40,,0.057506404652299975
434,K3PO4,m6,p3,DMF,t60,,0.006561152181499993
357,K3PO4,m3,p6,tAmOH,t20,,0.10733522234719992
311,K3PO4,m2,p2,tAmOH,t60,,0.05464150695469999
579,DBU,m6,p2,tAmOH,t20,,0.06151392622889993
672,K2CO3,m4,p3,DMF,t20,,0.020984124647800008
629,K2CO3,m2,p6,tAmOH,t60,,0.1155172291183
792,DIPEA,m3,p3,DMF,t20,,0.003372498551399997
805,DIPEA,m3,p6,DMF,t40,,0.08520761670009996
764,DIPEA,m2,p3,DMF,t60,,0.008809453807899994
