,Unnamed: 0,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
0,29,BTMG,m2,p6,tAmOH,t60,0.6057217869,0.224301104
1,67,BTMG,m4,p2,DMF,t40,0.013668960240000002,0.075508922
2,56,BTMG,m3,p6,DMF,t60,0.37308286789999995,0.369240211
3,569,DBU,m5,p6,tAmOH,t60,0.02686000679,0.083135403
4,277,Cs2CO3,m6,p2,DMF,t40,0.09159898594999999,0.053144102
5,748,K2CO3,m6,p6,tAmOH,t40,0.0098419469,0.081170802
6,412,K3PO4,m5,p4,tAmOH,t40,0.0,0.019488365
7,114,BTMG,m5,p6,DMF,t20,0.0,0.136733756
8,415,K3PO4,m5,p6,DMF,t40,0.08514827395999999,0.062798968
9,23,BTMG,m2,p4,tAmOH,t60,0.24712956649999998,0.084519205
10,293,Cs2CO3,m6,p4,tAmOH,t60,0.00324204235,0.05532184
11,52,BTMG,m3,p4,tAmOH,t40,0.1263726362,0.211952683
12,698,K2CO3,m5,p2,DMF,t60,0.020019627029999997,0.03243837
13,261,Cs2CO3,m5,p4,tAmOH,t20,0.0,0.009830195
14,560,DBU,m5,p4,DMF,t60,0.040414798269999996,0.020542455
15,685,K2CO3,m4,p6,DMF,t40,0.09551621141,0.096261114
16,523,DBU,m4,p3,DMF,t40,0.0,0.030476834
17,729,K2CO3,m6,p2,tAmOH,t20,0.0517804819,0.030985792
