,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
29,BTMG,m2,p6,tAmOH,t60,60.57217869,0.224301104
67,BTMG,m4,p2,DMF,t40,1.366896024,0.075508922
56,BTMG,m3,p6,DMF,t60,37.30828679,0.369240211
569,DBU,m5,p6,tAmOH,t60,2.686000679,0.083135403
277,Cs2CO3,m6,p2,DMF,t40,9.159898595,0.053144102
748,K2CO3,m6,p6,tAmOH,t40,0.98419469,0.081170802
412,K3PO4,m5,p4,tAmOH,t40,-0.043881889,0.019488365
114,BTMG,m5,p6,DMF,t20,-1.088416936,0.136733756
415,K3PO4,m5,p6,DMF,t40,8.514827396,0.062798968
23,BTMG,m2,p4,tAmOH,t60,24.71295665,0.084519205
293,Cs2CO3,m6,p4,tAmOH,t60,0.324204235,0.05532184
52,BTMG,m3,p4,tAmOH,t40,12.63726362,0.211952683
698,K2CO3,m5,p2,DMF,t60,2.001962703,0.03243837
261,Cs2CO3,m5,p4,tAmOH,t20,-0.236294234,0.009830195
560,DBU,m5,p4,DMF,t60,4.041479827,0.020542455
685,K2CO3,m4,p6,DMF,t40,9.551621141,0.096261114
523,DBU,m4,p3,DMF,t40,-0.318457229,0.030476834
729,K2CO3,m6,p2,tAmOH,t20,5.17804819,0.030985792
