,horizon,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
6,0,BTMG,m2,p2,DMF,t20,0.06488691052,1
145,1,BTMG,m6,p6,DMF,t40,0.1943675222999999,1
116,2,BTMG,m5,p6,DMF,t60,0.1435474552,1
99,3,BTMG,m5,p2,tAmOH,t20,0.0,1
16,4,BTMG,m2,p3,tAmOH,t40,0.04565834915,1
59,5,BTMG,m3,p6,tAmOH,t60,0.4584386895,1
186,6,Cs2CO3,m3,p2,DMF,t20,0.02203681229,1
157,7,Cs2CO3,m2,p2,DMF,t40,0.110026032,1
284,8,Cs2CO3,m6,p3,DMF,t60,0.00502415368,1
207,9,Cs2CO3,m3,p6,tAmOH,t20,0.04404858183,1
262,10,Cs2CO3,m5,p4,tAmOH,t40,0.0,1
221,11,Cs2CO3,m4,p2,tAmOH,t60,0.04668578593,1
330,12,K3PO4,m3,p1,DMF,t20,0.01035680304,1
349,13,K3PO4,m3,p4,DMF,t40,0.0560763603899999,1
344,14,K3PO4,m3,p3,DMF,t60,0.0,1
345,15,K3PO4,m3,p3,tAmOH,t20,0.0,1
448,16,K3PO4,m6,p6,tAmOH,t40,0.07332727552,1
305,17,K3PO4,m2,p1,tAmOH,t60,0.0,1
498,18,DBU,m3,p4,DMF,t20,0.0034730799,1
487,19,DBU,m3,p2,DMF,t40,0.02827638549,1
572,20,DBU,m6,p1,DMF,t60,0.0351837548,1
483,21,DBU,m3,p1,tAmOH,t20,0.0,1
466,22,DBU,m2,p3,tAmOH,t40,0.00613634969,1
575,23,DBU,m6,p1,tAmOH,t60,0.1242854915999999,1
630,24,K2CO3,m3,p1,DMF,t20,0.0,1
673,25,K2CO3,m4,p3,DMF,t40,0.03045244717,1
620,26,K2CO3,m2,p4,DMF,t60,0.04520408931,1
621,27,K2CO3,m2,p4,tAmOH,t20,0.02225592069,1
682,28,K2CO3,m4,p4,tAmOH,t40,0.08255586722,1
725,29,K2CO3,m6,p1,tAmOH,t60,0.0,1
840,30,DIPEA,m5,p1,DMF,t20,0.0,1
853,31,DIPEA,m5,p3,DMF,t40,0.0,1
812,32,DIPEA,m4,p1,DMF,t60,0.0,1
759,33,DIPEA,m2,p2,tAmOH,t20,0.00601161121,1
868,34,DIPEA,m5,p6,tAmOH,t40,0.0,1
887,35,DIPEA,m6,p3,tAmOH,t60,0.0,1
