,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
790,DIPEA,m3,p2,tAmOH,t40,,0.042749176178499965
785,DIPEA,m3,p1,tAmOH,t60,,0.01709551935389999
128,BTMG,m6,p2,DMF,t60,,0.1262974721840001
695,K2CO3,m5,p1,tAmOH,t60,,0.015120335259499993
154,Cs2CO3,m2,p1,tAmOH,t40,,0.041671988418299985
113,BTMG,m5,p4,tAmOH,t60,,0.11496593849409999
115,BTMG,m5,p6,DMF,t40,,0.09535273697150005
163,Cs2CO3,m2,p3,DMF,t40,,0.03170381309599998
82,BTMG,m4,p4,tAmOH,t40,,0.0992472004599
110,BTMG,m5,p4,DMF,t60,,0.11163743043859997
545,DBU,m5,p1,tAmOH,t60,,0.04267932572419995
397,K3PO4,m5,p2,DMF,t40,,0.04061547894589994
619,K2CO3,m2,p4,DMF,t40,,0.059810673946700026
574,DBU,m6,p1,tAmOH,t40,,0.07236670400260001
610,K2CO3,m2,p2,tAmOH,t40,,0.07084394608600006
425,K3PO4,m6,p1,tAmOH,t60,,0.02905323042759998
246,Cs2CO3,m5,p2,DMF,t20,,0.033853559899099994
578,DBU,m6,p2,DMF,t60,,0.05681647050609997
