,Unnamed: 0,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
0,790,DIPEA,m3,p2,tAmOH,t40,0.0,0.042749176
1,785,DIPEA,m3,p1,tAmOH,t60,0.0,0.017095519
2,128,BTMG,m6,p2,DMF,t60,0.13010840840000001,0.126297472
3,695,K2CO3,m5,p1,tAmOH,t60,0.0,0.015120335
4,154,Cs2CO3,m2,p1,tAmOH,t40,0.13212139820000002,0.041671988
5,113,BTMG,m5,p4,tAmOH,t60,0.10754221080000001,0.114965938
6,115,BTMG,m5,p6,DMF,t40,0.1832513637,0.095352737
7,163,Cs2CO3,m2,p3,DMF,t40,0.04701629854,0.031703813
8,82,BTMG,m4,p4,tAmOH,t40,0.079186251,0.0992472
9,110,BTMG,m5,p4,DMF,t60,0.1522590141,0.11163743
10,545,DBU,m5,p1,tAmOH,t60,0.013830725180000001,0.042679326
11,397,K3PO4,m5,p2,DMF,t40,0.09000347164000001,0.040615479
12,619,K2CO3,m2,p4,DMF,t40,0.05023094376000001,0.059810674
13,574,DBU,m6,p1,tAmOH,t40,0.03853347866,0.072366704
14,610,K2CO3,m2,p2,tAmOH,t40,0.02338853175,0.070843946
15,425,K3PO4,m6,p1,tAmOH,t60,0.02558173863,0.02905323
16,246,Cs2CO3,m5,p2,DMF,t20,0.09925969572,0.03385356
17,578,DBU,m6,p2,DMF,t60,0.039209145529999996,0.056816471
