,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,11.0,0.007072545920000001,0.007072545920000001
1,0.0,1.0,0.0,1.0,2.0,0.1947378974,0.20181044332
2,0.0,2.0,0.0,2.0,8.0,0.43082230610000005,0.63263274942
3,0.0,3.0,0.0,3.0,11.0,0.07259820865,0.70523095807
4,0.0,4.0,0.0,4.0,11.0,0.3951845686,1.10041552667
5,0.0,5.0,0.0,5.0,4.0,0.17723183909999998,1.27764736577
6,0.0,6.0,0.0,6.0,8.0,0.1539753007,1.43162266647
7,0.0,7.0,0.0,7.0,8.0,0.05298016227,1.48460282874
8,0.0,8.0,0.0,8.0,11.0,0.0,1.48460282874
9,0.0,9.0,0.0,9.0,8.0,0.1251722888,1.60977511754
10,0.0,10.0,0.0,10.0,0.0,0.149442896,1.75921801354
11,0.0,11.0,0.0,11.0,10.0,0.8932312926999999,2.65244930624
12,0.0,12.0,0.0,12.0,10.0,0.2024596352,2.8549089414399997
13,0.0,13.0,0.0,13.0,10.0,0.09293896223999999,2.9478479036799996
14,0.0,14.0,0.0,14.0,10.0,0.8932288292,3.8410767328799995
15,0.0,15.0,0.0,15.0,10.0,0.08955957809,3.9306363109699993
16,0.0,16.0,0.0,16.0,10.0,0.20996619049999998,4.140602501469999
17,0.0,17.0,0.0,17.0,10.0,0.7792695821,4.919872083569999
18,0.0,18.0,0.0,18.0,10.0,0.8775322874,5.797404370969999
19,0.0,19.0,0.0,19.0,10.0,0.0,5.797404370969999
20,0.0,20.0,0.0,20.0,10.0,0.47555818,6.272962550969999
21,0.0,21.0,0.0,21.0,10.0,0.7183207772,6.991283328169999
22,0.0,22.0,0.0,22.0,10.0,0.02354282195,7.014826150119998
23,0.0,23.0,0.0,23.0,10.0,0.0049264217,7.019752571819998
24,0.0,24.0,0.0,24.0,10.0,0.0,7.019752571819998
25,0.0,25.0,0.0,25.0,8.0,0.13375727639999999,7.153509848219998
26,0.0,26.0,0.0,26.0,4.0,0.35153745630000005,7.505047304519998
27,0.0,27.0,0.0,27.0,4.0,0.0,7.505047304519998
28,0.0,28.0,0.0,28.0,6.0,0.2620309393,7.767078243819998
29,0.0,29.0,0.0,29.0,10.0,0.0,7.767078243819998
30,0.0,30.0,0.0,30.0,10.0,0.41172900319999994,8.178807247019998
31,0.0,31.0,0.0,31.0,10.0,0.49613676300000004,8.674944010019999
32,0.0,32.0,0.0,32.0,11.0,0.3568280094,9.031772019419998
33,0.0,33.0,0.0,33.0,0.0,0.0,9.031772019419998
34,0.0,34.0,0.0,34.0,10.0,0.4953018855,9.527073904919998
35,0.0,35.0,0.0,35.0,5.0,0.3188044847,9.845878389619998
36,0.0,36.0,0.0,36.0,10.0,0.38796383419999997,10.233842223819998
37,0.0,37.0,0.0,37.0,10.0,0.9099050642000001,11.143747288019998
38,0.0,38.0,0.0,38.0,10.0,0.4089777506,11.552725038619998
39,0.0,39.0,0.0,39.0,8.0,0.028414599470000003,11.581139638089999
40,0.0,40.0,0.0,40.0,2.0,0.4987050942,12.079844732289999
41,0.0,41.0,0.0,41.0,11.0,0.3956647024,12.475509434689998
42,0.0,42.0,0.0,42.0,10.0,0.4313871983,12.906896632989998
43,0.0,43.0,0.0,43.0,10.0,0.47145342030000004,13.378350053289997
44,0.0,44.0,0.0,44.0,3.0,0.2829509241,13.661300977389997
45,0.0,45.0,0.0,45.0,10.0,0.3820471013,14.043348078689997
46,0.0,46.0,0.0,46.0,10.0,0.4001187418,14.443466820489997
47,0.0,47.0,0.0,47.0,10.0,0.04961974313,14.493086563619997
48,0.0,48.0,0.0,48.0,10.0,0.4915467449,14.984633308519998
49,0.0,49.0,0.0,49.0,10.0,0.9614798667,15.946113175219997
